file,line,severity,type,description,code
src/BARQ.Application/Services/AccessibilityService.cs,32,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId())
src/BARQ.Application/Services/AccessibilityService.cs,99,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId() && a.PageUrl == pageUrl)
src/BARQ.Application/Services/AccessibilityService.cs,156,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId() && a.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,194,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId() && a.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,277,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,336,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,367,High,TenantGap,Query without tenant filtering,var query = _context.AccessibilityIssues.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.AccessibilityAuditId == auditId).AsQueryable();
src/BARQ.Application/Services/AccessibilityService.cs,415,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Severity == severity && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,433,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Status == status)
src/BARQ.Application/Services/AccessibilityService.cs,451,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,483,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,516,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Id == id)
src/BARQ.Application/Services/AccessibilityService.cs,547,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId())
src/BARQ.Application/Services/AccessibilityService.cs,550,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId())
src/BARQ.Application/Services/AccessibilityService.cs,553,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,556,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Severity == ""Critical"" && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,560,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,566,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,574,High,TenantGap,Query without tenant filtering,".Where(a => a.TenantId == _tenantProvider.GetTenantId() && a.Status == ""Completed"")"
src/BARQ.Application/Services/AccessibilityService.cs,600,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId())
src/BARQ.Application/Services/AccessibilityService.cs,605,High,TenantGap,Query without tenant filtering,query = query.Where(a => a.PageUrl == pageUrl);
src/BARQ.Application/Services/AccessibilityService.cs,609,High,TenantGap,Query without tenant filtering,".Where(a => a.Status == ""Completed"")"
src/BARQ.Application/Services/AccessibilityService.cs,656,High,TenantGap,Query without tenant filtering,".Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.Severity == ""Critical"" && i.Status == ""Open"")"
src/BARQ.Application/Services/AccessibilityService.cs,674,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && issueIds.Contains(i.Id))
src/BARQ.Application/Services/AccessibilityService.cs,713,High,TenantGap,Query without tenant filtering,.Where(a => a.TenantId == _tenantProvider.GetTenantId() && a.Id == auditId)
src/BARQ.Application/Services/AccessibilityService.cs,718,High,TenantGap,Query without tenant filtering,.Where(i => i.TenantId == _tenantProvider.GetTenantId() && i.AccessibilityAuditId == auditId && !i.IsDeleted)
src/BARQ.Application/Services/AuditReportService.cs,67,High,TenantGap,Query without tenant filtering,.Where(r => r.TenantId == _tenantProvider.GetTenantId() && r.Id == Guid.Parse(reportId))
src/BARQ.Application/Services/AuditReportService.cs,82,High,TenantGap,Query without tenant filtering,.Where(r => r.TenantId == _tenantProvider.GetTenantId())
src/BARQ.Application/Services/AuditReportService.cs,87,High,TenantGap,Query without tenant filtering,query = query.Where(r => r.Status == request.Status);
src/BARQ.Application/Services/AuditReportService.cs,92,High,TenantGap,Query without tenant filtering,query = query.Where(r => r.Format == request.Format);
src/BARQ.Application/Services/AuditReportService.cs,107,High,TenantGap,Query without tenant filtering,query = query.Where(r => r.IsScheduled == request.IsScheduled.Value);
