file,line,severity,type,code
tests/BARQ.IntegrationTests/FlowableGatewayTests.cs,125,High,Mock,public class MockTenantProvider : ITenantProvider
tests/BARQ.IntegrationTests/Mocks/MockTenantProvider.cs,3,High,Mock,namespace BARQ.IntegrationTests.Mocks;
tests/BARQ.IntegrationTests/Mocks/MockTenantProvider.cs,5,High,Mock,public class MockTenantProvider : ITenantProvider
tests/BARQ.IntegrationTests/Mocks/MockTenantProvider.cs,10,High,Mock,"public MockTenantProvider(Guid? tenantId = null, string? tenantName = null)"
tests/BARQ.IntegrationTests/RepositoryIntegrationTests.cs,24,High,Mock,"services.AddScoped<BARQ.Core.Services.ITenantProvider, BARQ.IntegrationTests.Mocks.MockTenantProvider>();"
tests/BARQ.IntegrationTests/TestWebApplicationFactory.cs,29,High,Mock,"services.AddScoped<ITenantProvider, MockTenantProvider>();"
tests/BARQ.PerformanceTests/Mocks/MockTenantProvider.cs,3,High,Mock,namespace BARQ.PerformanceTests.Mocks;
tests/BARQ.PerformanceTests/Mocks/MockTenantProvider.cs,5,High,Mock,public class MockTenantProvider : ITenantProvider
tests/BARQ.PerformanceTests/Mocks/MockTenantProvider.cs,10,High,Mock,"public MockTenantProvider(Guid? tenantId = null, string? tenantName = null)"
tests/BARQ.PerformanceTests/TestWebApplicationFactory.cs,7,High,Mock,using BARQ.PerformanceTests.Mocks;
tests/BARQ.PerformanceTests/TestWebApplicationFactory.cs,36,High,Mock,"services.AddScoped<ITenantProvider, MockTenantProvider>();"
tests/BARQ.UnitTests/Mocks/MockTenantProvider.cs,3,High,Mock,namespace BARQ.UnitTests.Mocks;
tests/BARQ.UnitTests/Mocks/MockTenantProvider.cs,5,High,Mock,public class MockTenantProvider : ITenantProvider
tests/BARQ.UnitTests/Mocks/MockTenantProvider.cs,10,High,Mock,"public MockTenantProvider(Guid? tenantId = null, string? tenantName = null)"
tests/BARQ.UnitTests/Services/QuotaMiddlewareTests.cs,12,High,Mock,using BARQ.UnitTests.Mocks;
tests/BARQ.UnitTests/Services/QuotaMiddlewareTests.cs,29,High,Mock,var mockTenantProvider = new MockTenantProvider();
tests/BARQ.UnitTests/Services/QuotaMiddlewareTests.cs,30,High,Mock,"_context = new BarqDbContext(options, mockTenantProvider);"
tests/BARQ.UnitTests/Services/SlaServiceTests.cs,3,High,Mock,using BARQ.UnitTests.Mocks;
tests/BARQ.UnitTests/Services/SlaServiceTests.cs,13,High,Mock,private readonly MockTenantProvider _tenantProvider;
tests/BARQ.UnitTests/Services/SlaServiceTests.cs,20,High,Mock,_tenantProvider = new MockTenantProvider();
